date,time,borough,weather,road_condition,severity,contributing_factor,latitude,longitude
2026-01-03,08:15,Manhattan,Clear,Dry,Minor,Distracted Driving,40.758,-73.9855
2026-01-05,17:40,Brooklyn,Cloudy,Dry,Major,Following Too Closely,40.6782,-73.9442
2026-01-08,22:10,Queens,Rain,Wet,Minor,Unsafe Speed,40.7282,-73.7949
2026-01-11,13:25,Bronx,Clear,Dry,Major,Failure to Yield,40.8448,-73.8648
2026-01-14,07:50,Brooklyn,Rain,Wet,Major,Distracted Driving,40.6501,-73.9496
2026-01-17,19:30,Manhattan,Clear,Dry,Minor,Following Too Closely,40.7306,-73.9866
2026-01-20,23:45,Queens,Fog,Wet,Major,Unsafe Speed,40.7421,-73.7694
2026-01-23,10:20,Staten Island,Clear,Dry,Minor,Failure to Yield,40.5795,-74.1502
2026-01-26,16:05,Bronx,Cloudy,Dry,Minor,Distracted Driving,40.837,-73.8654
2026-01-29,18:15,Brooklyn,Rain,Wet,Major,Unsafe Speed,40.6928,-73.9903
2026-02-02,09:10,Manhattan,Clear,Dry,Minor,Following Too Closely,40.7484,-73.9857
2026-02-05,14:35,Queens,Cloudy,Dry,Minor,Failure to Yield,40.7135,-73.8283
2026-02-08,20:20,Bronx,Rain,Wet,Major,Unsafe Speed,40.816,-73.8974
2026-02-11,06:45,Brooklyn,Clear,Dry,Minor,Distracted Driving,40.6719,-73.9442
2026-02-14,17:25,Manhattan,Cloudy,Dry,Major,Failure to Yield,40.7614,-73.9776
2026-02-17,21:40,Queens,Rain,Wet,Major,Following Too Closely,40.7357,-73.8772
2026-02-20,11:55,Staten Island,Clear,Dry,Minor,Unsafe Speed,40.6082,-74.1448
2026-02-23,15:10,Bronx,Clear,Dry,Minor,Distracted Driving,40.8506,-73.8769
2026-02-26,18:50,Brooklyn,Fog,Wet,Major,Unsafe Speed,40.6506,-73.9496
2026-03-02,08:40,Manhattan,Rain,Wet,Major,Failure to Yield,40.7411,-73.9897
2026-03-05,12:30,Queens,Clear,Dry,Minor,Following Too Closely,40.7587,-73.83
2026-03-08,19:05,Bronx,Cloudy,Dry,Minor,Distracted Driving,40.8296,-73.9242
2026-03-11,22:35,Brooklyn,Rain,Wet,Major,Unsafe Speed,40.6782,-73.9442
2026-03-14,07:15,Manhattan,Clear,Dry,Minor,Failure to Yield,40.7527,-73.9772
2026-03-17,16:45,Queens,Cloudy,Dry,Major,Distracted Driving,40.7282,-73.7949
2026-03-20,20:55,Staten Island,Rain,Wet,Minor,Following Too Closely,40.5795,-74.1502
2026-03-23,10:05,Bronx,Clear,Dry,Minor,Unsafe Speed,40.8448,-73.8648
2026-03-26,17:35,Brooklyn,Rain,Wet,Major,Failure to Yield,40.6892,-73.9857
2026-03-29,23:20,Manhattan,Fog,Wet,Major,Distracted Driving,40.7306,-73.9866
2026-04-02,09:35,Queens,Clear,Dry,Minor,Following Too Closely,40.7421,-73.7694
2026-04-05,14:20,Bronx,Cloudy,Dry,Major,Unsafe Speed,40.837,-73.8654
2026-04-08,18:05,Brooklyn,Rain,Wet,Minor,Distracted Driving,40.6501,-73.9496
2026-04-11,21:15,Manhattan,Clear,Dry,Major,Failure to Yield,40.758,-73.9855
2026-04-14,07:35,Queens,Rain,Wet,Minor,Unsafe Speed,40.7135,-73.8283
2026-04-17,13:50,Staten Island,Clear,Dry,Minor,Following Too Closely,40.6082,-74.1448
2026-04-20,16:30,Bronx,Cloudy,Dry,Major,Distracted Driving,40.816,-73.8974
2026-04-23,19:45,Brooklyn,Rain,Wet,Major,Failure to Yield,40.6928,-73.9903
2026-04-26,22:05,Manhattan,Fog,Wet,Minor,Unsafe Speed,40.7484,-73.9857
2026-04-29,11:25,Queens,Clear,Dry,Minor,Distracted Driving,40.7357,-73.8772
2026-05-03,17:55,Bronx,Rain,Wet,Major,Following Too Closely,40.8506,-73.8769
2026-05-06,20:35,Brooklyn,Cloudy,Dry,Minor,Failure to Yield,40.6719,-73.9442
2026-05-09,08:05,Manhattan,Clear,Dry,Minor,Unsafe Speed,40.7614,-73.9776
2026-05-12,15:40,Queens,Rain,Wet,Major,Distracted Driving,40.7282,-73.7949
2026-05-15,18:25,Staten Island,Clear,Dry,Minor,Following Too Closely,40.5795,-74.1502
2026-05-18,23:10,Bronx,Fog,Wet,Major,Unsafe Speed,40.8296,-73.9242
2026-05-21,09:25,Brooklyn,Clear,Dry,Minor,Failure to Yield,40.6782,-73.9442
2026-05-24,14:55,Manhattan,Cloudy,Dry,Major,Distracted Driving,40.7411,-73.9897
2026-05-27,19:20,Queens,Rain,Wet,Minor,Following Too Closely,40.7587,-73.83
2026-05-30,21:50,Bronx,Clear,Dry,Major,Unsafe Speed,40.8448,-73.8648
